SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
7;3-Week;MLP;1;113324835,62;10645,41;4490,11;13,75;21,4;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;13,75
7;3-Week;MLP;2;103776418,77;10187,07;3978,36;12,88;18,2;{'activation': 'relu', 'alpha': 0,01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;12,88
7;3-Week;MLP;3;98710570,9;9935,32;3846,45;12,59;15,7;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;12,59
7;3-Week;MLP;4;107457904,79;10366,19;4191,78;13,18;20,4;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;13,18
7;3-Week;MLP;5;149845165,29;12241,13;3383,69;15,42;18,6;{'activation': 'relu', 'alpha': 0,0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;15,42
7;3-Week;MLP;6;157163078,22;12536,47;3260,69;15,69;16,7;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;15,69
7;3-Week;SVR-LSTM;1;108861993,02;10433,7;4284,99;13,3;4,5;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);13,3;999,0;999,0;999,0;999,0;999,0;999,0
7;3-Week;SVR-LSTM;2;108684681,08;10425,19;3370,61;13,05;11,2;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);13,05;999,0;999,0;999,0;999,0;999,0;999,0
7;3-Week;SVR-LSTM;3;132585306,43;11514,57;3710,18;14,46;11,2;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);14,46;999,0;999,0;999,0;999,0;999,0;999,0
7;3-Week;SVR-LSTM;4;134894028,51;11614,39;4483,77;15,17;13,9;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);15,17;999,0;999,0;999,0;999,0;999,0;999,0
